command,mean,stddev,median,user,system,min,max,parameter
cargo run --release -- -p 200 -g 200,0.52042019093,0.055039137120658554,0.5226677663300001,2.6785814950000004,0.9349436250000001,0.40795164983000004,0.61156151083,200
cargo run --release -- -p 600 -g 200,0.61891189593,0.045420080714523914,0.61426920083,5.856132694999999,1.5178814249999995,0.56056742883,0.7070987968300001,600
cargo run --release -- -p 1000 -g 200,0.78817988343,0.032441559220845274,0.7840581508300001,8.683439295,2.0835663249999996,0.74406936583,0.8435550418300001,1000
cargo run --release -- -p 1400 -g 200,0.9288639598300001,0.05372677799170302,0.94002826433,11.825104894999999,2.9278629250000003,0.8307074828300001,0.9943297468300001,1400
cargo run --release -- -p 1800 -g 200,1.10174092463,0.07831396936074145,1.1278638813300002,14.555616094999996,3.4513361249999996,0.9541601378300001,1.1860672728300001,1800
cargo run --release -- -p 2200 -g 200,1.3416239882299998,0.16898130693850305,1.3011362713299999,18.536913995,4.2432004249999995,1.14530008183,1.76771193883,2200
cargo run --release -- -p 2600 -g 200,1.4523359584299997,0.06271393938838404,1.42803353333,21.104424695000002,4.9122170249999995,1.38374427983,1.57601352283,2600
cargo run --release -- -p 3000 -g 200,1.6879851404300001,0.09695534364333548,1.68222930933,24.630191794999998,5.794084125,1.55298237283,1.8867085788300002,3000
cargo run --release -- -p 3400 -g 200,1.88411251823,0.11201421040567919,1.86700353783,27.930664695,6.465032024999999,1.74060752383,2.13731816383,3400
cargo run --release -- -p 3800 -g 200,2.3418029587299998,0.4527294833596898,2.25138582883,32.998869195,8.103911925,1.9623067838300001,3.5872749158299997,3800
cargo run --release -- -p 4200 -g 200,2.37760247623,0.10434992366048249,2.33255269083,35.424095495,8.595722225,2.26273070183,2.56249606883,4200
cargo run --release -- -p 4600 -g 200,2.5726072797299997,0.11988903203146271,2.56771350383,38.556906895,9.465172224999998,2.4231895568299997,2.73915314983,4600
cargo run --release -- -p 5000 -g 200,2.77803439123,0.06363796723976138,2.76098913683,41.67381719499999,10.218041525,2.6926553698299998,2.89583438783,5000
cargo run --release -- -p 5400 -g 200,3.0313966701299995,0.30119877357027625,2.93695700533,45.335279494999995,11.410135825,2.8865816608299997,3.8809688158299998,5400
cargo run --release -- -p 5800 -g 200,3.13475357843,0.11236569214979442,3.14515559283,47.903486895,11.884481424999999,2.92284673483,3.35502875083,5800
cargo run --release -- -p 6200 -g 200,3.4416441330300005,0.14939444751049777,3.45658420033,51.51523009500001,12.731557424999998,3.1951171058299996,3.77257346483,6200
cargo run --release -- -p 6600 -g 200,3.6500419507300004,0.11324785430414053,3.6608455743299997,54.60920549499999,13.671551025,3.4763319608299996,3.84225826383,6600
cargo run --release -- -p 7000 -g 200,3.9439157511300005,0.4154456985166375,3.84242199883,58.30843759500001,14.574314325000003,3.6179709398299997,5.08654820383,7000
cargo run --release -- -p 7400 -g 200,4.1192364260300005,0.31650657516397446,4.020554443329999,60.682351795,15.236268525,3.79355396783,4.93080417683,7400
cargo run --release -- -p 7800 -g 200,4.28032708673,0.20416264560099626,4.234226586329999,63.27095339499999,15.939538025,4.1216084108299995,4.84039238783,7800
cargo run --release -- -p 8200 -g 200,5.40188528633,2.8481420579052283,4.50388635633,65.52750059499999,17.023915425,4.34193593083,13.49274881383,8200
cargo run --release -- -p 8600 -g 200,4.68658766063,0.14786966447112238,4.68225001483,68.48239839499999,17.251787125,4.46828316583,4.89522453683,8600
cargo run --release -- -p 9000 -g 200,4.85984700333,0.13716549948609505,4.90662086183,70.732037495,17.628228525,4.57063526283,5.05820499783,9000
cargo run --release -- -p 9400 -g 200,5.19990766833,0.21135524611098144,5.15113519033,74.40326139499999,18.872165225,4.93673019783,5.75652347183,9400
cargo run --release -- -p 9800 -g 200,5.336741784329999,0.07945995792835499,5.322756217829999,76.705240695,19.182308424999995,5.19484145983,5.44925601083,9800
